Time(s),NodeID,TxThroughput(bps),RxThroughput(bps),AvgDelay(s),LossRate(%)
4,0,0,0,0,0
4,2,16608,0,0,100
5,0,49824,0,0,100
5,1,0,0,0,0
5,2,16608,0,0,100
6,0,8416,8416,0.00301054,75
6,1,49824,0,0,100
6,2,16608,0,0,100
6,4,0,0,0,0
6,6,8416,0,0,100
7,0,0,0,0,0
7,1,0,0,0,0
7,2,16608,0,0,100
7,3,49824,0,0,100
7,4,49824,0,0,100
7,6,8416,0,0,100
7,8,16608,0,0,100
8,0,49824,0,0,85.7143
8,1,0,0,0,0
8,2,16608,0,0,100
8,3,0,0,0,0
8,4,0,0,0,0
8,5,49824,0,0,100
8,6,8416,0,0,100
8,8,16608,0,0,100
9,0,8416,8416,0.00602108,75
9,1,16608,16608,0.003021,75
9,2,0,0,0,0
9,3,0,0,0,0
9,4,0,0,0,0
9,5,0,0,0,0
9,6,8416,0,0,100
9,7,49824,0,0,100
9,8,16608,0,0,100
10,0,0,0,0,0
10,1,49824,0,0,85.7143
10,2,16608,0,0,100
10,3,0,0,0,0
10,4,49824,0,0,100
10,5,0,0,0,0
10,6,8416,0,0,100
10,7,0,0,0,0
10,8,16608,0,0,100
11,0,58240,8416,0.00903162,75
11,1,16608,16608,0.0040294,75
11,2,16608,0,0,100
11,3,49824,0,0,100
11,4,0,0,0,0
11,5,0,0,0,0
11,6,8416,8416,0.00301054,83.3333
11,7,0,0,0,0
11,8,16608,0,0,100
12,0,8416,8416,0.0120422,69.2308
12,1,0,0,0,0
12,2,49824,33216,0.003021,80
12,3,0,0,0,0
12,4,0,0,0,0
12,5,49824,0,0,100
12,6,8416,0,0,85.7143
12,7,0,0,0,0
12,8,0,16608,0.003021,0
13,0,0,0,0,0
13,1,33216,33216,0.0050357,60
13,2,16608,0,0,81.8182
13,3,0,0,0,0
13,4,49824,0,0,100
13,5,0,0,0,0
13,6,8416,0,0,87.5
13,7,49824,0,0,100
13,8,16608,0,0,83.3333
14,0,49824,0,0,75
14,1,49824,0,0,69.2308
14,2,16608,0,0,83.3333
14,3,0,0,0,0
14,4,0,0,0,0
14,5,0,0,0,0
14,6,8416,0,0,88.8889
14,7,0,0,0,0
14,8,16608,0,0,85.7143
15,0,16608,16608,0.0150632,70.5882
15,1,0,0,0,0
15,2,0,0,0,0
15,3,49824,0,0,100
15,4,0,0,0,0
15,5,0,0,0,0
15,6,8416,0,0,90
15,7,0,0,0,0
15,8,16608,0,0,87.5
16,0,8416,8416,0.0180737,66.6667
16,1,0,0,0,0
16,2,16608,0,0,84.6154
16,3,0,0,0,0
16,4,49824,0,0,100
16,5,49824,0,0,100
16,6,0,0,0,0
16,7,0,0,0,0
16,8,16608,0,0,88.8889
17,0,49824,0,0,71.4286
17,1,0,0,0,0
17,2,16608,0,0,85.7143
